Matched Trades
Order{id=38097, symbol='TSLA', side='buy', type='market', price=null, timeStamp=1608936633}
Order{id=33536, symbol='AAPL', side='buy', type='limit', price=130.82, timeStamp=1608934359}

Order{id=43655, symbol='AAPL', side='sell', type='market', price=null, timeStamp=1608939423}
Order{id=43639, symbol='AAPL', side='buy', type='limit', price=130.39, timeStamp=1608939413}

Order{id=18805, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608926919}
Order{id=18802, symbol='AAPL', side='sell', type='limit', price=130.52, timeStamp=1608926918}

Order{id=25894, symbol='TSLA', side='buy', type='market', price=null, timeStamp=1608930517}
Order{id=25887, symbol='TSLA', side='sell', type='limit', price=658.09, timeStamp=1608930513}

Order{id=35499, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608935334}
Order{id=35487, symbol='TSLA', side='buy', type='limit', price=658.27, timeStamp=1608935329}

Order{id=27183, symbol='AMZN', side='buy', type='limit', price=3171.5, timeStamp=1608931156}
Order{id=27164, symbol='AMZN', side='sell', type='limit', price=3170.71, timeStamp=1608931146}

Order{id=40302, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608937733}
Order{id=40043, symbol='AMZN', side='buy', type='limit', price=3170.14, timeStamp=1608937604}

Order{id=35580, symbol='AAPL', side='sell', type='market', price=null, timeStamp=1608935378}
Order{id=35568, symbol='AAPL', side='buy', type='limit', price=131.84, timeStamp=1608935373}

Order{id=25932, symbol='AMZN', side='buy', type='market', price=null, timeStamp=1608930536}
Order{id=25680, symbol='AMZN', side='sell', type='limit', price=3171.92, timeStamp=1608930405}

Order{id=31028, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608933086}
Order{id=31015, symbol='AMZN', side='buy', type='limit', price=3171.67, timeStamp=1608933078}

Order{id=18722, symbol='TSLA', side='buy', type='market', price=null, timeStamp=1608926875}
Order{id=18699, symbol='TSLA', side='sell', type='limit', price=658.11, timeStamp=1608926863}

Order{id=34192, symbol='TSLA', side='sell', type='limit', price=658.79, timeStamp=1608934691}
Order{id=34182, symbol='TSLA', side='buy', type='limit', price=658.84, timeStamp=1608934687}

Order{id=14959, symbol='AMZN', side='buy', type='market', price=null, timeStamp=1608924937}
Order{id=14927, symbol='AMZN', side='sell', type='limit', price=3171.17, timeStamp=1608924920}

Order{id=3408, symbol='TSLA', side='buy', type='market', price=null, timeStamp=1608919134}
Order{id=3366, symbol='TSLA', side='sell', type='limit', price=659.04, timeStamp=1608919118}

Order{id=45912, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608940547}
Order{id=45902, symbol='AAPL', side='sell', type='limit', price=131.88, timeStamp=1608940540}

Order{id=5991, symbol='AAPL', side='sell', type='market', price=null, timeStamp=1608920430}
Order{id=5981, symbol='AAPL', side='buy', type='limit', price=131.6, timeStamp=1608920427}

Order{id=2030, symbol='TSLA', side='buy', type='limit', price=659.28, timeStamp=1608918432}
Order{id=2028, symbol='TSLA', side='sell', type='limit', price=659.08, timeStamp=1608918431}

Order{id=6506, symbol='TSLA', side='buy', type='market', price=null, timeStamp=1608920691}
Order{id=6456, symbol='TSLA', side='sell', type='limit', price=659.7, timeStamp=1608920664}

Order{id=42279, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608938733}
Order{id=42266, symbol='AMZN', side='buy', type='limit', price=3170.39, timeStamp=1608938726}

Order{id=9471, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608922186}
Order{id=9462, symbol='TSLA', side='buy', type='limit', price=659.11, timeStamp=1608922182}

Order{id=28352, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608931740}
Order{id=28351, symbol='AMZN', side='buy', type='limit', price=3171.59, timeStamp=1608931739}

Order{id=34555, symbol='AMZN', side='sell', type='market', price=3170.2, timeStamp=1608934877}
Order{id=34545, symbol='AMZN', side='buy', type='limit', price=3171.15, timeStamp=1608934870}

Order{id=1262, symbol='TSLA', side='buy', type='market', price=659.91, timeStamp=1608918035}
Order{id=1261, symbol='TSLA', side='sell', type='limit', price=659.56, timeStamp=1608918034}

Order{id=27661, symbol='AMZN', side='buy', type='market', price=3170.56, timeStamp=1608931397}
Order{id=27639, symbol='AMZN', side='sell', type='limit', price=3171.46, timeStamp=1608931386}

Order{id=26190, symbol='AMZN', side='buy', type='market', price=null, timeStamp=1608930660}
Order{id=26188, symbol='AMZN', side='sell', type='limit', price=3170.99, timeStamp=1608930659}

Order{id=41559, symbol='AMZN', side='sell', type='limit', price=3170.42, timeStamp=1608938365}
Order{id=41558, symbol='AMZN', side='buy', type='limit', price=3171.42, timeStamp=1608938365}

Order{id=25986, symbol='AMZN', side='buy', type='limit', price=3171.62, timeStamp=1608930560}
Order{id=25947, symbol='AMZN', side='sell', type='limit', price=3171.49, timeStamp=1608930542}

Order{id=42420, symbol='AMZN', side='buy', type='market', price=null, timeStamp=1608938800}
Order{id=42349, symbol='AMZN', side='sell', type='limit', price=3171.78, timeStamp=1608938766}

Order{id=26744, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608930930}
Order{id=26435, symbol='TSLA', side='buy', type='limit', price=658.28, timeStamp=1608930775}

Order{id=4576, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608919732}
Order{id=4516, symbol='TSLA', side='buy', type='limit', price=658.39, timeStamp=1608919698}

Order{id=31571, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608933354}
Order{id=31556, symbol='AAPL', side='sell', type='limit', price=130.64, timeStamp=1608933346}

Order{id=41353, symbol='AMZN', side='buy', type='limit', price=3171.47, timeStamp=1608938261}
Order{id=41315, symbol='AMZN', side='sell', type='limit', price=3170.73, timeStamp=1608938241}

Order{id=8276, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608921579}
Order{id=8271, symbol='AMZN', side='buy', type='limit', price=3171.49, timeStamp=1608921576}

Order{id=25559, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608930342}
Order{id=25541, symbol='TSLA', side='buy', type='limit', price=659.37, timeStamp=1608930331}

Order{id=44728, symbol='AMZN', side='buy', type='market', price=null, timeStamp=1608939958}
Order{id=44712, symbol='AMZN', side='sell', type='limit', price=3171.16, timeStamp=1608939949}

Order{id=41360, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608938263}
Order{id=41330, symbol='AMZN', side='buy', type='limit', price=3170.15, timeStamp=1608938248}

Order{id=6512, symbol='TSLA', side='buy', type='market', price=659.72, timeStamp=1608920694}
Order{id=6495, symbol='TSLA', side='sell', type='limit', price=659.95, timeStamp=1608920685}

Order{id=2536, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608918692}
Order{id=2532, symbol='TSLA', side='buy', type='limit', price=659.41, timeStamp=1608918691}

Order{id=26658, symbol='AAPL', side='sell', type='limit', price=130.06, timeStamp=1608930885}
Order{id=26654, symbol='AAPL', side='buy', type='limit', price=130.84, timeStamp=1608930883}

Order{id=34386, symbol='AAPL', side='sell', type='limit', price=130.21, timeStamp=1608934791}
Order{id=34378, symbol='AAPL', side='buy', type='limit', price=130.69, timeStamp=1608934785}

Order{id=46390, symbol='TSLA', side='buy', type='limit', price=659.77, timeStamp=1608940794}
Order{id=46342, symbol='TSLA', side='sell', type='limit', price=659.74, timeStamp=1608940771}

Order{id=22578, symbol='TSLA', side='buy', type='market', price=659.07, timeStamp=1608928824}
Order{id=22575, symbol='TSLA', side='sell', type='limit', price=659.55, timeStamp=1608928822}

Order{id=42221, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608938704}
Order{id=42214, symbol='AAPL', side='sell', type='limit', price=130.51, timeStamp=1608938701}

Order{id=13987, symbol='AMZN', side='buy', type='limit', price=3171.01, timeStamp=1608924456}
Order{id=13981, symbol='AMZN', side='sell', type='limit', price=3170.76, timeStamp=1608924453}

Order{id=38929, symbol='AAPL', side='sell', type='limit', price=130.89, timeStamp=1608937036}
Order{id=38928, symbol='AAPL', side='buy', type='limit', price=130.92, timeStamp=1608937035}

Order{id=39401, symbol='AAPL', side='sell', type='market', price=null, timeStamp=1608937273}
Order{id=39377, symbol='AAPL', side='buy', type='limit', price=130.28, timeStamp=1608937260}

Order{id=43869, symbol='TSLA', side='buy', type='market', price=null, timeStamp=1608939535}
Order{id=43828, symbol='TSLA', side='sell', type='limit', price=659.91, timeStamp=1608939513}

Order{id=21139, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608928089}
Order{id=21106, symbol='TSLA', side='buy', type='limit', price=659.03, timeStamp=1608928074}

Order{id=36217, symbol='AAPL', side='buy', type='limit', price=131.83, timeStamp=1608935701}
Order{id=36216, symbol='AAPL', side='sell', type='limit', price=130.71, timeStamp=1608935701}

Order{id=2205, symbol='TSLA', side='buy', type='market', price=null, timeStamp=1608918524}
Order{id=2199, symbol='TSLA', side='sell', type='limit', price=659.68, timeStamp=1608918521}

Order{id=14645, symbol='AAPL', side='sell', type='market', price=null, timeStamp=1608924785}
Order{id=14642, symbol='AAPL', side='buy', type='limit', price=131.34, timeStamp=1608924783}

Order{id=18351, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608926691}
Order{id=18341, symbol='AAPL', side='sell', type='limit', price=130.88, timeStamp=1608926688}

Order{id=5978, symbol='AMZN', side='buy', type='market', price=null, timeStamp=1608920425}
Order{id=5948, symbol='AMZN', side='sell', type='limit', price=3171.49, timeStamp=1608920409}

Order{id=29285, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608932208}
Order{id=29137, symbol='TSLA', side='buy', type='limit', price=658.1, timeStamp=1608932131}

Order{id=37136, symbol='TSLA', side='buy', type='market', price=null, timeStamp=1608936149}
Order{id=36896, symbol='TSLA', side='sell', type='limit', price=659.98, timeStamp=1608936034}

Order{id=1842, symbol='TSLA', side='sell', type='limit', price=658.41, timeStamp=1608918335}
Order{id=1840, symbol='TSLA', side='buy', type='limit', price=659.25, timeStamp=1608918333}

Order{id=6497, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608920686}
Order{id=6493, symbol='AAPL', side='sell', type='limit', price=131.77, timeStamp=1608920684}

Order{id=42037, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608938609}
Order{id=42014, symbol='TSLA', side='buy', type='limit', price=658.98, timeStamp=1608938598}

Order{id=41919, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608938553}
Order{id=41914, symbol='AAPL', side='sell', type='limit', price=130.95, timeStamp=1608938550}

Order{id=9242, symbol='TSLA', side='buy', type='market', price=null, timeStamp=1608922078}
Order{id=9229, symbol='TSLA', side='sell', type='limit', price=659.7, timeStamp=1608922070}

Order{id=373, symbol='TSLA', side='sell', type='limit', price=658.12, timeStamp=1608917595}
Order{id=346, symbol='TSLA', side='buy', type='limit', price=658.21, timeStamp=1608917582}

Order{id=36396, symbol='AAPL', side='buy', type='limit', price=131.62, timeStamp=1608935789}
Order{id=36391, symbol='AAPL', side='sell', type='limit', price=130.71, timeStamp=1608935786}

Order{id=9436, symbol='AAPL', side='sell', type='market', price=131.03, timeStamp=1608922166}
Order{id=9435, symbol='AAPL', side='buy', type='limit', price=131.45, timeStamp=1608922165}

Order{id=3067, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608918963}
Order{id=3028, symbol='AMZN', side='buy', type='limit', price=3170.39, timeStamp=1608918942}

Order{id=35378, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608935280}
Order{id=35376, symbol='TSLA', side='buy', type='limit', price=659.04, timeStamp=1608935279}

Order{id=31976, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608933569}
Order{id=31960, symbol='AAPL', side='sell', type='limit', price=130.62, timeStamp=1608933562}

Order{id=42818, symbol='AMZN', side='buy', type='limit', price=3171.76, timeStamp=1608938997}
Order{id=42804, symbol='AMZN', side='sell', type='limit', price=3170.63, timeStamp=1608938988}

Order{id=25897, symbol='AMZN', side='buy', type='limit', price=3171.66, timeStamp=1608930518}
Order{id=25856, symbol='AMZN', side='sell', type='limit', price=3171.45, timeStamp=1608930498}

Order{id=1348, symbol='AAPL', side='sell', type='market', price=null, timeStamp=1608918085}
Order{id=1151, symbol='AAPL', side='buy', type='limit', price=130.05, timeStamp=1608917977}

Order{id=16112, symbol='TSLA', side='buy', type='market', price=null, timeStamp=1608925520}
Order{id=16109, symbol='TSLA', side='sell', type='limit', price=659.12, timeStamp=1608925518}

Order{id=46177, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608940684}
Order{id=46119, symbol='AMZN', side='buy', type='limit', price=3170.92, timeStamp=1608940656}

Order{id=17692, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608926354}
Order{id=17679, symbol='AAPL', side='sell', type='limit', price=130.81, timeStamp=1608926349}

Order{id=39905, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608937531}
Order{id=39901, symbol='AMZN', side='buy', type='limit', price=3171.14, timeStamp=1608937529}

Order{id=35395, symbol='AAPL', side='buy', type='limit', price=131.9, timeStamp=1608935287}
Order{id=35337, symbol='AAPL', side='sell', type='limit', price=131.77, timeStamp=1608935261}

Order{id=35971, symbol='AMZN', side='sell', type='limit', price=3170.59, timeStamp=1608935572}
Order{id=35956, symbol='AMZN', side='buy', type='limit', price=3170.72, timeStamp=1608935565}

Order{id=31075, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608933109}
Order{id=30968, symbol='AAPL', side='sell', type='limit', price=131.68, timeStamp=1608933055}

Order{id=18336, symbol='AAPL', side='sell', type='market', price=null, timeStamp=1608926686}
Order{id=18273, symbol='AAPL', side='buy', type='limit', price=130.65, timeStamp=1608926654}

Order{id=22167, symbol='AAPL', side='buy', type='limit', price=130.83, timeStamp=1608928611}
Order{id=22159, symbol='AAPL', side='sell', type='limit', price=130.15, timeStamp=1608928606}

Order{id=33819, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608934503}
Order{id=33816, symbol='TSLA', side='buy', type='limit', price=659.06, timeStamp=1608934501}

Order{id=16770, symbol='AMZN', side='buy', type='market', price=null, timeStamp=1608925871}
Order{id=16767, symbol='AMZN', side='sell', type='limit', price=3171.87, timeStamp=1608925869}

Order{id=22241, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608928644}
Order{id=22106, symbol='AAPL', side='sell', type='limit', price=131.74, timeStamp=1608928579}

Order{id=9595, symbol='AAPL', side='sell', type='market', price=null, timeStamp=1608922252}
Order{id=9526, symbol='AAPL', side='buy', type='limit', price=131, timeStamp=1608922216}

Order{id=43237, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608939211}
Order{id=43236, symbol='AMZN', side='buy', type='limit', price=3171.24, timeStamp=1608939210}

Order{id=16701, symbol='AAPL', side='sell', type='market', price=null, timeStamp=1608925833}
Order{id=16692, symbol='AAPL', side='buy', type='limit', price=131.81, timeStamp=1608925830}

Order{id=23419, symbol='TSLA', side='buy', type='limit', price=659.23, timeStamp=1608929253}
Order{id=23407, symbol='TSLA', side='sell', type='limit', price=659.1, timeStamp=1608929249}

Order{id=30853, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608932994}
Order{id=30841, symbol='AMZN', side='buy', type='limit', price=3170.29, timeStamp=1608932989}

Order{id=45708, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608940448}
Order{id=45693, symbol='TSLA', side='buy', type='limit', price=658.54, timeStamp=1608940440}

Order{id=10484, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608922697}
Order{id=10458, symbol='AAPL', side='sell', type='limit', price=131.42, timeStamp=1608922687}

Order{id=39539, symbol='TSLA', side='buy', type='limit', price=659.14, timeStamp=1608937344}
Order{id=39519, symbol='TSLA', side='sell', type='limit', price=658.73, timeStamp=1608937335}

Order{id=2819, symbol='TSLA', side='buy', type='limit', price=659.41, timeStamp=1608918832}
Order{id=2779, symbol='TSLA', side='sell', type='limit', price=659.2, timeStamp=1608918809}

Order{id=10637, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608922775}
Order{id=10630, symbol='TSLA', side='buy', type='limit', price=659.15, timeStamp=1608922770}

Order{id=27327, symbol='AMZN', side='buy', type='market', price=null, timeStamp=1608931226}
Order{id=27320, symbol='AMZN', side='sell', type='limit', price=3171.25, timeStamp=1608931222}

Order{id=26048, symbol='AMZN', side='buy', type='limit', price=3170.7, timeStamp=1608930592}
Order{id=26025, symbol='AMZN', side='sell', type='limit', price=3170.06, timeStamp=1608930581}

Order{id=26942, symbol='AMZN', side='buy', type='limit', price=3171.15, timeStamp=1608931030}
Order{id=26941, symbol='AMZN', side='sell', type='limit', price=3170.94, timeStamp=1608931030}

Order{id=10362, symbol='AAPL', side='sell', type='market', price=null, timeStamp=1608922641}
Order{id=10357, symbol='AAPL', side='buy', type='limit', price=130.94, timeStamp=1608922638}

Order{id=15324, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608925126}
Order{id=15277, symbol='AMZN', side='buy', type='limit', price=3171.19, timeStamp=1608925103}

Order{id=37568, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608936357}
Order{id=37541, symbol='AMZN', side='buy', type='limit', price=3171.07, timeStamp=1608936344}

Order{id=963, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608917886}
Order{id=951, symbol='AMZN', side='buy', type='limit', price=3170.98, timeStamp=1608917880}

Order{id=29164, symbol='AMZN', side='buy', type='market', price=null, timeStamp=1608932144}
Order{id=29162, symbol='AMZN', side='sell', type='limit', price=3171.02, timeStamp=1608932143}

Order{id=33755, symbol='TSLA', side='buy', type='market', price=null, timeStamp=1608934468}
Order{id=33747, symbol='TSLA', side='sell', type='limit', price=658.04, timeStamp=1608934464}

Order{id=19802, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608927414}
Order{id=19786, symbol='AAPL', side='sell', type='limit', price=130.69, timeStamp=1608927405}

Order{id=33039, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608934110}
Order{id=33029, symbol='TSLA', side='buy', type='limit', price=659.82, timeStamp=1608934105}

Order{id=44577, symbol='AMZN', side='buy', type='market', price=null, timeStamp=1608939880}
Order{id=44564, symbol='AMZN', side='sell', type='limit', price=3171.28, timeStamp=1608939874}

Order{id=41592, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608938382}
Order{id=41565, symbol='AMZN', side='buy', type='limit', price=3171.18, timeStamp=1608938368}

Order{id=14081, symbol='AAPL', side='buy', type='limit', price=131.63, timeStamp=1608924503}
Order{id=14069, symbol='AAPL', side='sell', type='limit', price=130.05, timeStamp=1608924498}

Order{id=24091, symbol='TSLA', side='sell', type='limit', price=658.12, timeStamp=1608929587}
Order{id=24060, symbol='TSLA', side='buy', type='limit', price=659.32, timeStamp=1608929575}

Order{id=24565, symbol='AAPL', side='buy', type='limit', price=131.32, timeStamp=1608929827}
Order{id=24555, symbol='AAPL', side='sell', type='limit', price=131.28, timeStamp=1608929822}

Order{id=15840, symbol='AMZN', side='buy', type='market', price=3171.77, timeStamp=1608925394}
Order{id=15839, symbol='AMZN', side='sell', type='limit', price=3171.97, timeStamp=1608925394}

Order{id=4580, symbol='AAPL', side='sell', type='market', price=null, timeStamp=1608919734}
Order{id=4572, symbol='AAPL', side='buy', type='limit', price=131.21, timeStamp=1608919730}

Order{id=19644, symbol='AMZN', side='buy', type='market', price=null, timeStamp=1608927336}
Order{id=19643, symbol='AMZN', side='sell', type='limit', price=3170.69, timeStamp=1608927336}

Order{id=39094, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608937120}
Order{id=39088, symbol='AAPL', side='sell', type='limit', price=131.49, timeStamp=1608937117}

Order{id=5573, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608920227}
Order{id=5566, symbol='AAPL', side='sell', type='limit', price=131.67, timeStamp=1608920224}

Order{id=277, symbol='AAPL', side='sell', type='market', price=null, timeStamp=1608917546}
Order{id=271, symbol='AAPL', side='buy', type='limit', price=131.49, timeStamp=1608917542}

Order{id=37240, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608936202}
Order{id=37177, symbol='TSLA', side='buy', type='limit', price=659.14, timeStamp=1608936170}

Order{id=43824, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608939510}
Order{id=43812, symbol='AMZN', side='buy', type='limit', price=3170.54, timeStamp=1608939503}

Order{id=36243, symbol='TSLA', side='buy', type='market', price=null, timeStamp=1608935714}
Order{id=36166, symbol='TSLA', side='sell', type='limit', price=659.86, timeStamp=1608935675}

Order{id=5108, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608919988}
Order{id=5031, symbol='AMZN', side='buy', type='limit', price=3170.12, timeStamp=1608919950}

Order{id=42110, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608938648}
Order{id=42106, symbol='TSLA', side='buy', type='limit', price=659.53, timeStamp=1608938645}

Order{id=26268, symbol='TSLA', side='buy', type='limit', price=658.83, timeStamp=1608930697}
Order{id=26267, symbol='TSLA', side='sell', type='limit', price=658.21, timeStamp=1608930697}

Order{id=13297, symbol='TSLA', side='buy', type='limit', price=659.06, timeStamp=1608924107}
Order{id=13292, symbol='TSLA', side='sell', type='limit', price=658.39, timeStamp=1608924104}

Order{id=31474, symbol='AAPL', side='sell', type='limit', price=130.2, timeStamp=1608933303}
Order{id=31465, symbol='AAPL', side='buy', type='limit', price=131.94, timeStamp=1608933300}

Order{id=35168, symbol='AMZN', side='buy', type='market', price=null, timeStamp=1608935173}
Order{id=35164, symbol='AMZN', side='sell', type='limit', price=3170.98, timeStamp=1608935171}

Order{id=37460, symbol='AMZN', side='buy', type='market', price=null, timeStamp=1608936302}
Order{id=37281, symbol='AMZN', side='sell', type='limit', price=3171.34, timeStamp=1608936220}

Order{id=1819, symbol='AMZN', side='buy', type='market', price=null, timeStamp=1608918322}
Order{id=1792, symbol='AMZN', side='sell', type='limit', price=3170.74, timeStamp=1608918308}

Order{id=39964, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608937565}
Order{id=39944, symbol='AAPL', side='sell', type='limit', price=131.65, timeStamp=1608937553}

Order{id=11209, symbol='AMZN', side='buy', type='limit', price=3171.61, timeStamp=1608923071}
Order{id=11207, symbol='AMZN', side='sell', type='limit', price=3171.43, timeStamp=1608923071}

Order{id=44034, symbol='AAPL', side='buy', type='market', price=131.45, timeStamp=1608939616}
Order{id=44015, symbol='AAPL', side='sell', type='limit', price=131.97, timeStamp=1608939607}

Order{id=16396, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608925668}
Order{id=16389, symbol='TSLA', side='buy', type='limit', price=659.64, timeStamp=1608925665}

Order{id=31091, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608933114}
Order{id=31080, symbol='AAPL', side='sell', type='limit', price=130.99, timeStamp=1608933110}

Order{id=5791, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608920335}
Order{id=5789, symbol='TSLA', side='buy', type='limit', price=659.82, timeStamp=1608920334}

Order{id=36011, symbol='TSLA', side='buy', type='market', price=null, timeStamp=1608935592}
Order{id=36008, symbol='TSLA', side='sell', type='limit', price=658.11, timeStamp=1608935591}

Order{id=44127, symbol='TSLA', side='buy', type='market', price=null, timeStamp=1608939663}
Order{id=44126, symbol='TSLA', side='sell', type='limit', price=659.37, timeStamp=1608939663}

Order{id=29844, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608932492}
Order{id=29799, symbol='AAPL', side='sell', type='limit', price=131.47, timeStamp=1608932470}

Order{id=5947, symbol='AAPL', side='sell', type='market', price=null, timeStamp=1608920409}
Order{id=5930, symbol='AAPL', side='buy', type='limit', price=131.66, timeStamp=1608920401}

Order{id=1703, symbol='AAPL', side='sell', type='market', price=null, timeStamp=1608918259}
Order{id=1649, symbol='AAPL', side='buy', type='limit', price=131.05, timeStamp=1608918232}

Order{id=38643, symbol='AAPL', side='sell', type='market', price=null, timeStamp=1608936893}
Order{id=38629, symbol='AAPL', side='buy', type='limit', price=131.64, timeStamp=1608936885}

Order{id=31490, symbol='AAPL', side='sell', type='market', price=null, timeStamp=1608933312}
Order{id=31379, symbol='AAPL', side='buy', type='limit', price=130.42, timeStamp=1608933259}

Order{id=4465, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608919673}
Order{id=4242, symbol='TSLA', side='buy', type='limit', price=658.49, timeStamp=1608919560}

Order{id=2017, symbol='TSLA', side='buy', type='limit', price=659.87, timeStamp=1608918424}
Order{id=1988, symbol='TSLA', side='sell', type='limit', price=659.11, timeStamp=1608918408}

Order{id=44406, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608939795}
Order{id=44381, symbol='AMZN', side='buy', type='limit', price=3170.6, timeStamp=1608939781}

Order{id=27005, symbol='TSLA', side='buy', type='market', price=null, timeStamp=1608931063}
Order{id=27000, symbol='TSLA', side='sell', type='limit', price=658.89, timeStamp=1608931061}

Order{id=14133, symbol='TSLA', side='sell', type='limit', price=659.13, timeStamp=1608924528}
Order{id=14120, symbol='TSLA', side='buy', type='limit', price=659.69, timeStamp=1608924524}

Order{id=38678, symbol='AAPL', side='sell', type='limit', price=130.46, timeStamp=1608936909}
Order{id=38654, symbol='AAPL', side='buy', type='limit', price=130.58, timeStamp=1608936899}

