Order{id=2, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917400}
Order{id=60, symbol='FB', side='buy', type='limit', price=266.37, timeStamp=1608917429}
Order{id=62, symbol='GOOG', side='sell', type='market', price=null, timeStamp=1608917431}
Order{id=64, symbol='GOOG', side='sell', type='limit', price=1733.43, timeStamp=1608917431}
Order{id=65, symbol='FB', side='buy', type='limit', price=265.95, timeStamp=1608917431}
Order{id=70, symbol='GOOG', side='sell', type='limit', price=1732.02, timeStamp=1608917435}
Order{id=71, symbol='FB', side='sell', type='limit', price=265.51, timeStamp=1608917435}
Order{id=72, symbol='FB', side='buy', type='limit', price=266.69, timeStamp=1608917436}
Order{id=74, symbol='GOOG', side='buy', type='market', price=null, timeStamp=1608917437}
Order{id=77, symbol='TSLA', side='sell', type='limit', price=null, timeStamp=1608917440}
Order{id=78, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917440}
Order{id=83, symbol='GOOG', side='buy', type='limit', price=1732.99, timeStamp=1608917442}
Order{id=84, symbol='AAPL', side='sell', type='market', price=130.82, timeStamp=1608917442}
Order{id=86, symbol='FB', side='sell', type='market', price=null, timeStamp=1608917444}
Order{id=87, symbol='FB', side='sell', type='limit', price=265.15, timeStamp=1608917444}
Order{id=94, symbol='FB', side='buy', type='limit', price=265.52, timeStamp=1608917448}
Order{id=95, symbol='GOOG', side='sell', type='market', price=1733.2, timeStamp=1608917448}
Order{id=96, symbol='FB', side='sell', type='limit', price=265.41, timeStamp=1608917449}
Order{id=98, symbol='GOOG', side='sell', type='market', price=null, timeStamp=1608917450}
Order{id=100, symbol='AAPL', side='sell', type='market', price=null, timeStamp=1608917451}
Order{id=101, symbol='GOOG', side='buy', type='limit', price=1733.94, timeStamp=1608917451}
Order{id=103, symbol='TSLA', side='buy', type='market', price=659.74, timeStamp=1608917453}
Order{id=104, symbol='GOOG', side='buy', type='market', price=null, timeStamp=1608917454}
Order{id=105, symbol='GOOG', side='buy', type='limit', price=1733.12, timeStamp=1608917454}
Order{id=106, symbol='GOOG', side='buy', type='limit', price=1733.23, timeStamp=1608917454}
Order{id=109, symbol='FB', side='sell', type='limit', price=266.14, timeStamp=1608917455}
Order{id=110, symbol='FB', side='buy', type='limit', price=265.77, timeStamp=1608917456}
Order{id=112, symbol='TSLA', side='sell', type='limit', price=null, timeStamp=1608917457}
Order{id=114, symbol='GOOG', side='buy', type='market', price=null, timeStamp=1608917459}
Order{id=115, symbol='AMZN', side='buy', type='limit', price=null, timeStamp=1608917459}
Order{id=116, symbol='AAPL', side='sell', type='market', price=null, timeStamp=1608917460}
Order{id=119, symbol='FB', side='buy', type='limit', price=265.27, timeStamp=1608917462}
Order{id=121, symbol='GOOG', side='sell', type='limit', price=1732.58, timeStamp=1608917464}
Order{id=123, symbol='GOOG', side='sell', type='limit', price=1733.34, timeStamp=1608917465}
Order{id=124, symbol='FB', side='sell', type='market', price=null, timeStamp=1608917466}
Order{id=125, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608917467}
Order{id=128, symbol='FB', side='buy', type='limit', price=266.11, timeStamp=1608917468}
Order{id=130, symbol='FB', side='buy', type='limit', price=265.97, timeStamp=1608917469}
Order{id=131, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917470}
Order{id=133, symbol='FB', side='sell', type='market', price=null, timeStamp=1608917471}
Order{id=134, symbol='GOOG', side='sell', type='limit', price=1732.29, timeStamp=1608917472}
Order{id=136, symbol='FB', side='buy', type='limit', price=266.66, timeStamp=1608917472}
Order{id=137, symbol='GOOG', side='sell', type='limit', price=1733.46, timeStamp=1608917473}
Order{id=139, symbol='FB', side='buy', type='limit', price=266.9, timeStamp=1608917474}
Order{id=142, symbol='GOOG', side='sell', type='limit', price=1732.95, timeStamp=1608917476}
Order{id=144, symbol='GOOG', side='sell', type='limit', price=1732.8, timeStamp=1608917476}
Order{id=146, symbol='GOOG', side='buy', type='market', price=null, timeStamp=1608917477}
Order{id=149, symbol='FB', side='sell', type='limit', price=266.81, timeStamp=1608917479}
Order{id=156, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917483}
Order{id=160, symbol='GOOG', side='buy', type='limit', price=null, timeStamp=1608917485}
Order{id=161, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917486}
Order{id=162, symbol='FB', side='sell', type='limit', price=266.15, timeStamp=1608917486}
Order{id=164, symbol='FB', side='buy', type='limit', price=266.02, timeStamp=1608917487}
Order{id=165, symbol='GOOG', side='buy', type='market', price=null, timeStamp=1608917488}
Order{id=178, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917496}
Order{id=182, symbol='AAPL', side='sell', type='market', price=null, timeStamp=1608917498}
Order{id=185, symbol='GOOG', side='sell', type='limit', price=1733.46, timeStamp=1608917500}
Order{id=186, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917500}
Order{id=187, symbol='FB', side='sell', type='limit', price=266.95, timeStamp=1608917501}
Order{id=188, symbol='FB', side='sell', type='market', price=null, timeStamp=1608917501}
Order{id=190, symbol='FB', side='buy', type='limit', price=265.63, timeStamp=1608917502}
Order{id=191, symbol='FB', side='buy', type='limit', price=266.06, timeStamp=1608917502}
Order{id=196, symbol='FB', side='sell', type='limit', price=266.43, timeStamp=1608917505}
Order{id=197, symbol='FB', side='sell', type='market', price=null, timeStamp=1608917506}
Order{id=201, symbol='FB', side='sell', type='limit', price=266.9, timeStamp=1608917507}
Order{id=202, symbol='GOOG', side='buy', type='market', price=1732.7, timeStamp=1608917508}
Order{id=204, symbol='FB', side='sell', type='limit', price=null, timeStamp=1608917509}
Order{id=208, symbol='AMZN', side='sell', type='limit', price=null, timeStamp=1608917511}
Order{id=209, symbol='GOOG', side='sell', type='market', price=null, timeStamp=1608917512}
Order{id=211, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608917513}
Order{id=212, symbol='GOOG', side='buy', type='market', price=1732.06, timeStamp=1608917514}
Order{id=213, symbol='FB', side='buy', type='limit', price=265.72, timeStamp=1608917515}
Order{id=214, symbol='GOOG', side='sell', type='limit', price=1733.75, timeStamp=1608917515}
Order{id=215, symbol='FB', side='sell', type='limit', price=265.56, timeStamp=1608917515}
Order{id=216, symbol='FB', side='sell', type='market', price=null, timeStamp=1608917516}
Order{id=217, symbol='FB', side='sell', type='limit', price=265.41, timeStamp=1608917517}
Order{id=218, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917517}
Order{id=219, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917517}
Order{id=220, symbol='GOOG', side='sell', type='market', price=null, timeStamp=1608917518}
Order{id=224, symbol='FB', side='sell', type='limit', price=265.31, timeStamp=1608917520}
Order{id=227, symbol='FB', side='buy', type='limit', price=266.43, timeStamp=1608917522}
Order{id=228, symbol='AAPL', side='buy', type='market', price=130.17, timeStamp=1608917522}
Order{id=231, symbol='FB', side='sell', type='market', price=null, timeStamp=1608917524}
Order{id=232, symbol='AAPL', side='sell', type='market', price=null, timeStamp=1608917525}
Order{id=234, symbol='GOOG', side='sell', type='market', price=null, timeStamp=1608917526}
Order{id=235, symbol='GOOG', side='buy', type='market', price=null, timeStamp=1608917526}
Order{id=236, symbol='GOOG', side='buy', type='market', price=null, timeStamp=1608917527}
Order{id=238, symbol='GOOG', side='buy', type='limit', price=1732.53, timeStamp=1608917528}
Order{id=243, symbol='FB', side='buy', type='limit', price=265.63, timeStamp=1608917530}
Order{id=244, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608917530}
Order{id=246, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608917531}
Order{id=248, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917532}
Order{id=249, symbol='FB', side='sell', type='market', price=null, timeStamp=1608917533}
Order{id=250, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608917533}
Order{id=251, symbol='FB', side='sell', type='limit', price=266.47, timeStamp=1608917533}
Order{id=252, symbol='AAPL', side='sell', type='market', price=null, timeStamp=1608917533}
Order{id=253, symbol='AAPL', side='sell', type='market', price=null, timeStamp=1608917533}
Order{id=255, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608917534}
Order{id=257, symbol='FB', side='sell', type='market', price=null, timeStamp=1608917536}
Order{id=260, symbol='FB', side='sell', type='market', price=null, timeStamp=1608917537}
Order{id=263, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917538}
Order{id=265, symbol='GOOG', side='buy', type='limit', price=1732.29, timeStamp=1608917539}
Order{id=269, symbol='FB', side='buy', type='limit', price=266.82, timeStamp=1608917541}
Order{id=270, symbol='GOOG', side='sell', type='market', price=null, timeStamp=1608917542}
Order{id=273, symbol='GOOG', side='sell', type='limit', price=1732.79, timeStamp=1608917543}
Order{id=274, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917544}
Order{id=278, symbol='AAPL', side='sell', type='limit', price=null, timeStamp=1608917546}
Order{id=279, symbol='GOOG', side='sell', type='limit', price=1732.01, timeStamp=1608917546}
Order{id=282, symbol='GOOG', side='sell', type='market', price=null, timeStamp=1608917548}
Order{id=286, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608917550}
Order{id=287, symbol='GOOG', side='sell', type='limit', price=1732.69, timeStamp=1608917550}
Order{id=288, symbol='GOOG', side='buy', type='limit', price=1733.86, timeStamp=1608917551}
Order{id=289, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608917551}
Order{id=291, symbol='GOOG', side='sell', type='market', price=1733.21, timeStamp=1608917553}
Order{id=293, symbol='FB', side='sell', type='limit', price=265.97, timeStamp=1608917554}
Order{id=294, symbol='FB', side='sell', type='limit', price=266.51, timeStamp=1608917554}
Order{id=296, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917556}
Order{id=297, symbol='AAPL', side='sell', type='market', price=131.14, timeStamp=1608917556}
Order{id=299, symbol='FB', side='sell', type='market', price=null, timeStamp=1608917558}
Order{id=300, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608917558}
Order{id=303, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917559}
Order{id=304, symbol='GOOG', side='sell', type='limit', price=1732.51, timeStamp=1608917560}
Order{id=305, symbol='FB', side='sell', type='market', price=null, timeStamp=1608917561}
Order{id=311, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608917563}
Order{id=312, symbol='FB', side='sell', type='market', price=null, timeStamp=1608917563}
Order{id=313, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917564}
Order{id=314, symbol='GOOG', side='sell', type='market', price=null, timeStamp=1608917564}
Order{id=315, symbol='FB', side='sell', type='limit', price=266.97, timeStamp=1608917565}
Order{id=317, symbol='FB', side='buy', type='limit', price=265.85, timeStamp=1608917565}
Order{id=320, symbol='FB', side='sell', type='market', price=null, timeStamp=1608917567}
Order{id=325, symbol='GOOG', side='buy', type='market', price=null, timeStamp=1608917569}
Order{id=326, symbol='GOOG', side='sell', type='market', price=null, timeStamp=1608917570}
Order{id=327, symbol='GOOG', side='sell', type='limit', price=1732.95, timeStamp=1608917571}
Order{id=328, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917572}
Order{id=329, symbol='FB', side='sell', type='market', price=null, timeStamp=1608917573}
Order{id=330, symbol='GOOG', side='buy', type='limit', price=1733.22, timeStamp=1608917573}
Order{id=332, symbol='FB', side='buy', type='limit', price=266.18, timeStamp=1608917574}
Order{id=334, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917575}
Order{id=339, symbol='FB', side='sell', type='market', price=266.11, timeStamp=1608917578}
Order{id=340, symbol='GOOG', side='buy', type='market', price=null, timeStamp=1608917578}
Order{id=341, symbol='GOOG', side='buy', type='limit', price=1733.52, timeStamp=1608917579}
Order{id=342, symbol='FB', side='buy', type='limit', price=266.37, timeStamp=1608917579}
Order{id=344, symbol='GOOG', side='sell', type='limit', price=1733.37, timeStamp=1608917580}
Order{id=345, symbol='TSLA', side='buy', type='market', price=null, timeStamp=1608917581}
Order{id=349, symbol='GOOG', side='sell', type='limit', price=1733.68, timeStamp=1608917584}
Order{id=350, symbol='GOOG', side='sell', type='market', price=null, timeStamp=1608917584}
Order{id=352, symbol='TSLA', side='buy', type='market', price=null, timeStamp=1608917585}
Order{id=353, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917585}
Order{id=357, symbol='FB', side='buy', type='limit', price=266.09, timeStamp=1608917588}
Order{id=358, symbol='FB', side='buy', type='limit', price=265.51, timeStamp=1608917588}
Order{id=360, symbol='FB', side='sell', type='limit', price=266.73, timeStamp=1608917590}
Order{id=361, symbol='FB', side='buy', type='limit', price=266.88, timeStamp=1608917590}
Order{id=363, symbol='GOOG', side='buy', type='limit', price=1733.05, timeStamp=1608917591}
Order{id=365, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608917592}
Order{id=366, symbol='FB', side='buy', type='limit', price=265.19, timeStamp=1608917592}
Order{id=367, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608917593}
Order{id=369, symbol='GOOG', side='sell', type='limit', price=1732.56, timeStamp=1608917594}
Order{id=370, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608917594}
Order{id=372, symbol='GOOG', side='buy', type='limit', price=1732.64, timeStamp=1608917595}
Order{id=374, symbol='FB', side='sell', type='limit', price=266.11, timeStamp=1608917596}
Order{id=375, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917596}
Order{id=378, symbol='GOOG', side='buy', type='limit', price=1732.74, timeStamp=1608917597}
Order{id=381, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917599}
Order{id=383, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917600}
Order{id=385, symbol='AAPL', side='sell', type='market', price=130.33, timeStamp=1608917600}
Order{id=387, symbol='GOOG', side='buy', type='market', price=null, timeStamp=1608917601}
Order{id=390, symbol='FB', side='sell', type='limit', price=265.3, timeStamp=1608917602}
Order{id=391, symbol='FB', side='buy', type='market', price=265.5, timeStamp=1608917603}
Order{id=392, symbol='FB', side='sell', type='market', price=null, timeStamp=1608917603}
Order{id=393, symbol='FB', side='sell', type='market', price=null, timeStamp=1608917603}
Order{id=395, symbol='GOOG', side='sell', type='market', price=null, timeStamp=1608917603}
Order{id=396, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917604}
Order{id=397, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608917605}
Order{id=398, symbol='GOOG', side='sell', type='limit', price=1732.07, timeStamp=1608917606}
Order{id=399, symbol='AAPL', side='sell', type='market', price=null, timeStamp=1608917606}
Order{id=400, symbol='GOOG', side='sell', type='market', price=null, timeStamp=1608917607}
Order{id=401, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917607}
Order{id=403, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608917608}
Order{id=404, symbol='FB', side='buy', type='limit', price=265.91, timeStamp=1608917609}
Order{id=405, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608917609}
Order{id=406, symbol='AAPL', side='sell', type='market', price=null, timeStamp=1608917610}
Order{id=410, symbol='FB', side='buy', type='limit', price=266.95, timeStamp=1608917611}
Order{id=414, symbol='AMZN', side='buy', type='market', price=3171.24, timeStamp=1608917612}
Order{id=415, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608917613}
Order{id=416, symbol='FB', side='buy', type='limit', price=null, timeStamp=1608917613}
Order{id=419, symbol='FB', side='sell', type='market', price=null, timeStamp=1608917615}
Order{id=421, symbol='GOOG', side='buy', type='market', price=null, timeStamp=1608917616}
Order{id=423, symbol='AAPL', side='sell', type='limit', price=null, timeStamp=1608917618}
Order{id=424, symbol='AMZN', side='buy', type='market', price=null, timeStamp=1608917619}
Order{id=427, symbol='FB', side='buy', type='limit', price=266.95, timeStamp=1608917621}
Order{id=429, symbol='AMZN', side='buy', type='market', price=null, timeStamp=1608917622}
Order{id=432, symbol='GOOG', side='sell', type='limit', price=1733.69, timeStamp=1608917623}
Order{id=433, symbol='GOOG', side='sell', type='limit', price=1733.85, timeStamp=1608917624}
Order{id=434, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608917625}
Order{id=436, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917626}
Order{id=442, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608917630}
Order{id=443, symbol='GOOG', side='sell', type='limit', price=1733.25, timeStamp=1608917631}
Order{id=444, symbol='FB', side='sell', type='limit', price=266.28, timeStamp=1608917632}
Order{id=445, symbol='AMZN', side='sell', type='limit', price=null, timeStamp=1608917632}
Order{id=446, symbol='FB', side='sell', type='market', price=null, timeStamp=1608917632}
Order{id=447, symbol='FB', side='sell', type='market', price=null, timeStamp=1608917633}
Order{id=449, symbol='GOOG', side='buy', type='limit', price=1733.11, timeStamp=1608917633}
Order{id=452, symbol='GOOG', side='sell', type='limit', price=1733.59, timeStamp=1608917635}
Order{id=453, symbol='GOOG', side='buy', type='market', price=null, timeStamp=1608917635}
Order{id=457, symbol='FB', side='sell', type='limit', price=265.63, timeStamp=1608917638}
Order{id=459, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917639}
Order{id=462, symbol='GOOG', side='buy', type='limit', price=1733.28, timeStamp=1608917641}
Order{id=463, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608917641}
Order{id=464, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608917641}
Order{id=466, symbol='FB', side='sell', type='market', price=null, timeStamp=1608917643}
Order{id=470, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608917647}
Order{id=473, symbol='FB', side='sell', type='market', price=null, timeStamp=1608917648}
Order{id=477, symbol='GOOG', side='sell', type='market', price=null, timeStamp=1608917650}
Order{id=478, symbol='FB', side='sell', type='limit', price=265.81, timeStamp=1608917651}
Order{id=481, symbol='FB', side='sell', type='market', price=null, timeStamp=1608917653}
Order{id=482, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917653}
Order{id=483, symbol='GOOG', side='sell', type='limit', price=1732.42, timeStamp=1608917654}
Order{id=485, symbol='GOOG', side='sell', type='limit', price=1733.91, timeStamp=1608917655}
Order{id=486, symbol='FB', side='sell', type='limit', price=265.99, timeStamp=1608917655}
Order{id=488, symbol='FB', side='sell', type='limit', price=266, timeStamp=1608917657}
Order{id=491, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608917658}
Order{id=493, symbol='FB', side='buy', type='limit', price=266.77, timeStamp=1608917659}
Order{id=498, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608917662}
Order{id=499, symbol='FB', side='buy', type='limit', price=265.69, timeStamp=1608917662}
Order{id=501, symbol='FB', side='sell', type='limit', price=266.62, timeStamp=1608917663}
Order{id=505, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608917665}
Order{id=506, symbol='AMZN', side='sell', type='market', price=3170.88, timeStamp=1608917665}
Order{id=508, symbol='GOOG', side='buy', type='limit', price=1733.51, timeStamp=1608917667}
Order{id=509, symbol='GOOG', side='sell', type='limit', price=1732.59, timeStamp=1608917667}
Order{id=510, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608917668}
Order{id=514, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917670}
Order{id=517, symbol='FB', side='buy', type='limit', price=266.21, timeStamp=1608917671}
Order{id=521, symbol='FB', side='sell', type='market', price=null, timeStamp=1608917672}
Order{id=522, symbol='AAPL', side='sell', type='market', price=null, timeStamp=1608917673}
Order{id=523, symbol='GOOG', side='buy', type='market', price=null, timeStamp=1608917673}
Order{id=525, symbol='TSLA', side='buy', type='market', price=null, timeStamp=1608917673}
Order{id=527, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608917674}
Order{id=528, symbol='FB', side='sell', type='limit', price=265.36, timeStamp=1608917674}
Order{id=532, symbol='AAPL', side='sell', type='market', price=null, timeStamp=1608917677}
Order{id=533, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608917677}
Order{id=535, symbol='AAPL', side='sell', type='market', price=130.09, timeStamp=1608917678}
Order{id=536, symbol='GOOG', side='sell', type='market', price=null, timeStamp=1608917678}
Order{id=537, symbol='GOOG', side='buy', type='market', price=null, timeStamp=1608917678}
Order{id=538, symbol='GOOG', side='buy', type='market', price=null, timeStamp=1608917679}
Order{id=539, symbol='TSLA', side='buy', type='market', price=null, timeStamp=1608917680}
Order{id=540, symbol='GOOG', side='buy', type='market', price=null, timeStamp=1608917681}
Order{id=541, symbol='AMZN', side='buy', type='market', price=null, timeStamp=1608917682}
Order{id=544, symbol='GOOG', side='sell', type='market', price=null, timeStamp=1608917682}
Order{id=546, symbol='TSLA', side='buy', type='market', price=null, timeStamp=1608917683}
Order{id=547, symbol='TSLA', side='buy', type='market', price=null, timeStamp=1608917684}
Order{id=548, symbol='GOOG', side='sell', type='market', price=null, timeStamp=1608917684}
Order{id=550, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608917686}
Order{id=551, symbol='AAPL', side='buy', type='limit', price=null, timeStamp=1608917686}
Order{id=552, symbol='GOOG', side='sell', type='limit', price=1732.7, timeStamp=1608917686}
Order{id=555, symbol='FB', side='buy', type='limit', price=266.18, timeStamp=1608917687}
Order{id=556, symbol='AMZN', side='buy', type='market', price=null, timeStamp=1608917688}
Order{id=558, symbol='TSLA', side='buy', type='market', price=null, timeStamp=1608917690}
Order{id=559, symbol='FB', side='sell', type='limit', price=265.07, timeStamp=1608917690}
Order{id=563, symbol='FB', side='sell', type='limit', price=266.14, timeStamp=1608917692}
Order{id=566, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608917694}
Order{id=568, symbol='AMZN', side='buy', type='market', price=null, timeStamp=1608917696}
Order{id=569, symbol='GOOG', side='buy', type='market', price=null, timeStamp=1608917697}
Order{id=572, symbol='GOOG', side='buy', type='limit', price=1732.8, timeStamp=1608917699}
Order{id=573, symbol='FB', side='sell', type='limit', price=265.6, timeStamp=1608917700}
Order{id=576, symbol='GOOG', side='buy', type='limit', price=1733.63, timeStamp=1608917701}
Order{id=579, symbol='GOOG', side='buy', type='limit', price=1732.95, timeStamp=1608917703}
Order{id=580, symbol='AMZN', side='buy', type='market', price=null, timeStamp=1608917704}
Order{id=581, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608917704}
Order{id=584, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608917706}
Order{id=586, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608917707}
Order{id=588, symbol='FB', side='sell', type='limit', price=265.19, timeStamp=1608917708}
Order{id=589, symbol='FB', side='buy', type='limit', price=265.8, timeStamp=1608917708}
Order{id=590, symbol='GOOG', side='sell', type='market', price=1733.75, timeStamp=1608917709}
Order{id=592, symbol='FB', side='buy', type='limit', price=265.98, timeStamp=1608917710}
Order{id=593, symbol='FB', side='sell', type='market', price=null, timeStamp=1608917710}
Order{id=594, symbol='FB', side='sell', type='market', price=null, timeStamp=1608917711}
Order{id=595, symbol='FB', side='buy', type='limit', price=265.53, timeStamp=1608917711}
Order{id=596, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608917711}
Order{id=598, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608917711}
Order{id=599, symbol='FB', side='sell', type='market', price=null, timeStamp=1608917712}
Order{id=601, symbol='GOOG', side='sell', type='limit', price=1733.32, timeStamp=1608917713}
Order{id=603, symbol='FB', side='sell', type='market', price=null, timeStamp=1608917714}
Order{id=604, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608917715}
Order{id=607, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917717}
Order{id=608, symbol='FB', side='sell', type='limit', price=265.78, timeStamp=1608917717}
Order{id=609, symbol='GOOG', side='buy', type='limit', price=1732.81, timeStamp=1608917718}
Order{id=613, symbol='FB', side='buy', type='limit', price=266.46, timeStamp=1608917719}
Order{id=615, symbol='GOOG', side='sell', type='market', price=null, timeStamp=1608917719}
Order{id=617, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608917720}
Order{id=618, symbol='GOOG', side='sell', type='limit', price=1733.2, timeStamp=1608917720}
Order{id=620, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917722}
Order{id=621, symbol='FB', side='sell', type='market', price=null, timeStamp=1608917723}
Order{id=627, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608917726}
Order{id=628, symbol='TSLA', side='sell', type='market', price=658.55, timeStamp=1608917727}
Order{id=629, symbol='GOOG', side='sell', type='limit', price=1732.2, timeStamp=1608917728}
Order{id=630, symbol='GOOG', side='sell', type='limit', price=1732.04, timeStamp=1608917728}
Order{id=631, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608917729}
Order{id=634, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917730}
Order{id=635, symbol='GOOG', side='buy', type='market', price=null, timeStamp=1608917730}
